,document_id,attribute,code_lev1,code_lev2,snippet_left,snippet_right,group_folder
1183,Monitoring height and greenness of non-woody floodplain vegetation with UAV time series,Topography,SUCC (Successional stages of ecosites),Pioneer,,,Drone-assisted studies
1184,Monitoring height and greenness of non-woody floodplain vegetation with UAV time series,Topography,TEMP (Temporal resolution of information),> 6 acq.,,,Drone-assisted studies
1185,Monitoring height and greenness of non-woody floodplain vegetation with UAV time series,Vegetation structure,BIOME (Biome of ecosites),Grassland,,,Drone-assisted studies
1186,Monitoring height and greenness of non-woody floodplain vegetation with UAV time series,Vegetation structure,BIOME (Biome of ecosites),Wetland/riparian,,,Drone-assisted studies
1187,Monitoring height and greenness of non-woody floodplain vegetation with UAV time series,Vegetation structure,RELI - (Information acquistion reliant on...),multitemp,,,Drone-assisted studies
1188,Monitoring height and greenness of non-woody floodplain vegetation with UAV time series,Vegetation structure,RELI - (Information acquistion reliant on...),Phenology,,,Drone-assisted studies
1190,Monitoring height and greenness of non-woody floodplain vegetation with UAV time series,Vegetation structure,RELI - (Information acquistion reliant on...),Weather,,,Drone-assisted studies
1191,Monitoring height and greenness of non-woody floodplain vegetation with UAV time series,Vegetation structure,RES (Spatial resolution of drone information),< 5 cm,,,Drone-assisted studies
1192,Monitoring height and greenness of non-woody floodplain vegetation with UAV time series,Vegetation structure,SAMPL (Number of samples),< 50 samp.,,,Drone-assisted studies
1193,Monitoring height and greenness of non-woody floodplain vegetation with UAV time series,Vegetation structure,SENS (Drone sensor),Multispec.,,,Drone-assisted studies
1194,Monitoring height and greenness of non-woody floodplain vegetation with UAV time series,Vegetation structure,SUCC (Successional stages of ecosites),Intermediate,,,Drone-assisted studies
1195,Monitoring height and greenness of non-woody floodplain vegetation with UAV time series,Vegetation structure,SUCC (Successional stages of ecosites),Pioneer,,,Drone-assisted studies
1196,Monitoring height and greenness of non-woody floodplain vegetation with UAV time series,Vegetation structure,TEMP (Temporal resolution of information),> 6 acq.,,,Drone-assisted studies
1208,UAV lidar and hyperspectral fusion for forest monitoring in the southwestern USA,Vegetation structure,AREA (Total area covered),< 50 ha,,,Drone-assisted studies
1210,UAV lidar and hyperspectral fusion for forest monitoring in the southwestern USA,Vegetation structure,BIOME (Biome of ecosites),Conif. forest,,,Drone-assisted studies
1211,UAV lidar and hyperspectral fusion for forest monitoring in the southwestern USA,Vegetation structure,Complexity,Neutral sentiment,,,Drone-assisted studies
1212,UAV lidar and hyperspectral fusion for forest monitoring in the southwestern USA,Vegetation structure,FIELD (Field sampling data),Aerial observation,,,Drone-assisted studies
1213,UAV lidar and hyperspectral fusion for forest monitoring in the southwestern USA,Vegetation structure,INTEG (Data integration),Positive sentiment,,,Drone-assisted studies
1214,UAV lidar and hyperspectral fusion for forest monitoring in the southwestern USA,Vegetation structure,INTEG (Data integration),With spatial RS data,,,Drone-assisted studies
1215,UAV lidar and hyperspectral fusion for forest monitoring in the southwestern USA,Vegetation structure,LOC (Location of ecosites),North America,,,Drone-assisted studies
1216,UAV lidar and hyperspectral fusion for forest monitoring in the southwestern USA,Vegetation structure,RELI - (Information acquistion reliant on...),Skill set personal,,,Drone-assisted studies
1217,UAV lidar and hyperspectral fusion for forest monitoring in the southwestern USA,Vegetation structure,SEAS (Season of data collection),Core,,,Drone-assisted studies
1218,UAV lidar and hyperspectral fusion for forest monitoring in the southwestern USA,Vegetation structure,SENS (Drone sensor),Hyperspec.,,,Drone-assisted studies
1220,UAV lidar and hyperspectral fusion for forest monitoring in the southwestern USA,Vegetation structure,SUCC (Successional stages of ecosites),Climax,,,Drone-assisted studies
1221,UAV lidar and hyperspectral fusion for forest monitoring in the southwestern USA,Vegetation structure,SUCC (Successional stages of ecosites),Intermediate,,,Drone-assisted studies
1222,UAV lidar and hyperspectral fusion for forest monitoring in the southwestern USA,Vegetation structure,TEMP (Temporal resolution of information),1 acq.,,,Drone-assisted studies
1229,Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Topography,AREA (Total area covered),< 50 ha,,,Drone-assisted studies
1231,Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Topography,BIOME (Biome of ecosites),Wetland/riparian,,,Drone-assisted studies
1232,Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Topography,Complexity,Negative sentiment,,,Drone-assisted studies
1233,Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Topography,FIELD (Field sampling data),Environmental data,,,Drone-assisted studies
1234,Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Topography,LOC (Location of ecosites),Europe,,,Drone-assisted studies
1235,Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Topography,Novelty,Positive sentiment,,,Drone-assisted studies
1236,Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Topography,RELI - (Information acquistion reliant on...),Flight parameters,,,Drone-assisted studies
1237,Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Topography,RELI - (Information acquistion reliant on...),Phenology,,,Drone-assisted studies
1238,Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Topography,RELI - (Information acquistion reliant on...),Skill set personal,,,Drone-assisted studies
1239,Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Topography,SAMPL (Number of samples),50-100 samp.,,,Drone-assisted studies
1240,Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Topography,SEAS (Season of data collection),Core,,,Drone-assisted studies
1243,Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Topography,SUCC (Successional stages of ecosites),Climax,,,Drone-assisted studies
1244,Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Topography,SUCC (Successional stages of ecosites),Intermediate,,,Drone-assisted studies
1245,Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Topography,SUCC (Successional stages of ecosites),Pioneer,,,Drone-assisted studies
1246,Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Topography,TEMP (Temporal resolution of information),1 acq.,,,Drone-assisted studies
1253,The absence of keystone indigenous trees inhibits bird recovery up to a decade after invasive tree removal from riparian habitats,"Plant func. type
composition",BIOME (Biome of ecosites),Shrubland,,,Field-based studies
1254,The absence of keystone indigenous trees inhibits bird recovery up to a decade after invasive tree removal from riparian habitats,"Plant func. type
composition",FIELD (Field sampling data),Plant data,,,Field-based studies
1256,The absence of keystone indigenous trees inhibits bird recovery up to a decade after invasive tree removal from riparian habitats,"Plant func. type
composition",LOC (Location of ecosites),Africa,,,Field-based studies
1257,The absence of keystone indigenous trees inhibits bird recovery up to a decade after invasive tree removal from riparian habitats,"Plant func. type
composition",SAMPL (Number of samples),< 50 samp.,,,Field-based studies
1258,The absence of keystone indigenous trees inhibits bird recovery up to a decade after invasive tree removal from riparian habitats,"Plant func. type
composition",SUCC (Successional stages of ecosites),Intermediate,,,Field-based studies
1259,The absence of keystone indigenous trees inhibits bird recovery up to a decade after invasive tree removal from riparian habitats,"Plant func. type
composition",TEMP (Temporal resolution of information),1 acq.,,,Field-based studies
1261,The absence of keystone indigenous trees inhibits bird recovery up to a decade after invasive tree removal from riparian habitats,"Productivity
(Health/Biomass)",BIOME (Biome of ecosites),Shrubland,,,Field-based studies
1262,The absence of keystone indigenous trees inhibits bird recovery up to a decade after invasive tree removal from riparian habitats,"Productivity
(Health/Biomass)",FIELD (Field sampling data),Plant data,,,Field-based studies
1264,The absence of keystone indigenous trees inhibits bird recovery up to a decade after invasive tree removal from riparian habitats,"Productivity
(Health/Biomass)",LOC (Location of ecosites),Africa,,,Field-based studies
1265,The absence of keystone indigenous trees inhibits bird recovery up to a decade after invasive tree removal from riparian habitats,"Productivity
(Health/Biomass)",SAMPL (Number of samples),< 50 samp.,,,Field-based studies
1266,The absence of keystone indigenous trees inhibits bird recovery up to a decade after invasive tree removal from riparian habitats,"Productivity
(Health/Biomass)",SUCC (Successional stages of ecosites),Intermediate,,,Field-based studies
1267,The absence of keystone indigenous trees inhibits bird recovery up to a decade after invasive tree removal from riparian habitats,"Productivity
(Health/Biomass)",TEMP (Temporal resolution of information),1 acq.,,,Field-based studies
1273,Comparison of Image Endmember- and Object-Based Classification of Very-High-Spatial-Resolution Unmanned Aircraft System (UAS) Narrow-Band Images for Mapping Riparian Forests and Other Land Covers,"Plant func. type
composition",BIOME (Biome of ecosites),Wetland/riparian,,,Drone-assisted studies
1274,Comparison of Image Endmember- and Object-Based Classification of Very-High-Spatial-Resolution Unmanned Aircraft System (UAS) Narrow-Band Images for Mapping Riparian Forests and Other Land Covers,"Plant func. type
composition",INTEG (Data integration),Negative sentiment,,,Drone-assisted studies
1275,Comparison of Image Endmember- and Object-Based Classification of Very-High-Spatial-Resolution Unmanned Aircraft System (UAS) Narrow-Band Images for Mapping Riparian Forests and Other Land Covers,"Plant func. type
composition",INTEG (Data integration),With spatial RS data,,,Drone-assisted studies
1276,Comparison of Image Endmember- and Object-Based Classification of Very-High-Spatial-Resolution Unmanned Aircraft System (UAS) Narrow-Band Images for Mapping Riparian Forests and Other Land Covers,"Plant func. type
composition",LOC (Location of ecosites),Oceania,,,Drone-assisted studies
1278,Comparison of Image Endmember- and Object-Based Classification of Very-High-Spatial-Resolution Unmanned Aircraft System (UAS) Narrow-Band Images for Mapping Riparian Forests and Other Land Covers,"Plant func. type
composition",RES (Spatial resolution of drone information),> 10 cm,,,Drone-assisted studies
1279,Comparison of Image Endmember- and Object-Based Classification of Very-High-Spatial-Resolution Unmanned Aircraft System (UAS) Narrow-Band Images for Mapping Riparian Forests and Other Land Covers,"Plant func. type
composition",RES (Spatial resolution of drone information),5-10 cm,,,Drone-assisted studies
1281,Comparison of Image Endmember- and Object-Based Classification of Very-High-Spatial-Resolution Unmanned Aircraft System (UAS) Narrow-Band Images for Mapping Riparian Forests and Other Land Covers,"Plant func. type
composition",TEMP (Temporal resolution of information),2-3 acq.,,,Drone-assisted studies
1288,Comparison of RGB and Multispectral Unmanned Aerial Vehicle for Monitoring Vegetation Coverage Changes on a Landslide Area,"Plant func. type
composition",AREA (Total area covered),< 50 ha,,,Drone-assisted studies
1289,Comparison of RGB and Multispectral Unmanned Aerial Vehicle for Monitoring Vegetation Coverage Changes on a Landslide Area,"Plant func. type
composition",BIOME (Biome of ecosites),Dec. forest,,,Drone-assisted studies
1290,Comparison of RGB and Multispectral Unmanned Aerial Vehicle for Monitoring Vegetation Coverage Changes on a Landslide Area,"Plant func. type
composition",Complexity,Positive sentiment,,,Drone-assisted studies
1291,Comparison of RGB and Multispectral Unmanned Aerial Vehicle for Monitoring Vegetation Coverage Changes on a Landslide Area,"Plant func. type
composition",FIELD (Field sampling data),Aerial observation,,,Drone-assisted studies
1292,Comparison of RGB and Multispectral Unmanned Aerial Vehicle for Monitoring Vegetation Coverage Changes on a Landslide Area,"Plant func. type
composition",LOC (Location of ecosites),Asia,,,Drone-assisted studies
1293,Comparison of RGB and Multispectral Unmanned Aerial Vehicle for Monitoring Vegetation Coverage Changes on a Landslide Area,"Plant func. type
composition",RELI - (Information acquistion reliant on...),Weather,,,Drone-assisted studies
1294,Comparison of RGB and Multispectral Unmanned Aerial Vehicle for Monitoring Vegetation Coverage Changes on a Landslide Area,"Plant func. type
composition",SEAS (Season of data collection),Core,,,Drone-assisted studies
1295,Comparison of RGB and Multispectral Unmanned Aerial Vehicle for Monitoring Vegetation Coverage Changes on a Landslide Area,"Plant func. type
composition",SEAS (Season of data collection),Spring,,,Drone-assisted studies
1298,Comparison of RGB and Multispectral Unmanned Aerial Vehicle for Monitoring Vegetation Coverage Changes on a Landslide Area,"Plant func. type
composition",SUCC (Successional stages of ecosites),Pioneer,,,Drone-assisted studies
1299,Comparison of RGB and Multispectral Unmanned Aerial Vehicle for Monitoring Vegetation Coverage Changes on a Landslide Area,"Plant func. type
composition",TEMP (Temporal resolution of information),4-5 acq.,,,Drone-assisted studies
1310,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,"Plant func. type
composition",AREA (Total area covered),50-100 ha,,,Drone-assisted studies
1311,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,"Plant func. type
composition",BIOME (Biome of ecosites),Grassland,,,Drone-assisted studies
1312,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,"Plant func. type
composition",FIELD (Field sampling data),Plant data,,,Drone-assisted studies
1313,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,"Plant func. type
composition",LOC (Location of ecosites),Europe,,,Drone-assisted studies
1314,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,"Plant func. type
composition",RELI - (Information acquistion reliant on...),Flight parameters,,,Drone-assisted studies
1317,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,"Plant func. type
composition",RELI - (Information acquistion reliant on...),Weather,,,Drone-assisted studies
1318,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,"Plant func. type
composition",RES (Spatial resolution of drone information),5-10 cm,,,Drone-assisted studies
1319,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,"Plant func. type
composition",SAMPL (Number of samples),100-250 samp.,,,Drone-assisted studies
1320,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,"Plant func. type
composition",SEAS (Season of data collection),Core,,,Drone-assisted studies
1321,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,"Plant func. type
composition",TEMP (Temporal resolution of information),1 acq.,,,Drone-assisted studies
1324,Forest restoration monitoring through digital processing of high resolution images,"Plant func. type
composition",AREA (Total area covered),50-100 ha,,,Drone-assisted studies
1325,Forest restoration monitoring through digital processing of high resolution images,"Plant func. type
composition",BIOME (Biome of ecosites),Tropical forest,,,Drone-assisted studies
1326,Forest restoration monitoring through digital processing of high resolution images,"Plant func. type
composition",Complexity,Neutral sentiment,,,Drone-assisted studies
1327,Forest restoration monitoring through digital processing of high resolution images,"Plant func. type
composition",FIELD (Field sampling data),Aerial observation,,,Drone-assisted studies
1328,Forest restoration monitoring through digital processing of high resolution images,"Plant func. type
composition",LOC (Location of ecosites),Latin America,,,Drone-assisted studies
1329,Forest restoration monitoring through digital processing of high resolution images,"Plant func. type
composition",RELI - (Information acquistion reliant on...),Weather,,,Drone-assisted studies
1330,Forest restoration monitoring through digital processing of high resolution images,"Plant func. type
composition",RES (Spatial resolution of drone information),5-10 cm,,,Drone-assisted studies
1331,Forest restoration monitoring through digital processing of high resolution images,"Plant func. type
composition",SEAS (Season of data collection),Spring,,,Drone-assisted studies
1332,Forest restoration monitoring through digital processing of high resolution images,"Plant func. type
composition",SENS (Drone sensor),Multispec.,,,Drone-assisted studies
1333,Forest restoration monitoring through digital processing of high resolution images,"Plant func. type
composition",SUCC (Successional stages of ecosites),Intermediate,,,Drone-assisted studies
1334,Forest restoration monitoring through digital processing of high resolution images,"Plant func. type
composition",TEMP (Temporal resolution of information),1 acq.,,,Drone-assisted studies
1337,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,"Plant func. type
composition",AREA (Total area covered),< 50 ha,,,Drone-assisted studies
1338,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,"Plant func. type
composition",BIOME (Biome of ecosites),Grassland,,,Drone-assisted studies
1339,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,"Plant func. type
composition",BIOME (Biome of ecosites),Savanna/desert,,,Drone-assisted studies
1341,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,"Plant func. type
composition",FIELD (Field sampling data),Plant data,,,Drone-assisted studies
1342,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,"Plant func. type
composition",LOC (Location of ecosites),Asia,,,Drone-assisted studies
1343,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,"Plant func. type
composition",RES (Spatial resolution of drone information),< 5 cm,,,Drone-assisted studies
1344,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,"Plant func. type
composition",SAMPL (Number of samples),< 50 samp.,,,Drone-assisted studies
1345,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,"Plant func. type
composition",SEAS (Season of data collection),Core,,,Drone-assisted studies
1346,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,"Plant func. type
composition",SENS (Drone sensor),Hyperspec.,,,Drone-assisted studies
1347,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,"Plant func. type
composition",TEMP (Temporal resolution of information),1 acq.,,,Drone-assisted studies
1348,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,Spatial mosaic,AREA (Total area covered),< 50 ha,,,Drone-assisted studies
1349,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,Spatial mosaic,BIOME (Biome of ecosites),Grassland,,,Drone-assisted studies
1350,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,Spatial mosaic,BIOME (Biome of ecosites),Savanna/desert,,,Drone-assisted studies
1351,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,Spatial mosaic,Complexity,Negative sentiment,,,Drone-assisted studies
1352,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,Spatial mosaic,FIELD (Field sampling data),Plant data,,,Drone-assisted studies
1353,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,Spatial mosaic,LOC (Location of ecosites),Asia,,,Drone-assisted studies
1354,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,Spatial mosaic,RES (Spatial resolution of drone information),< 5 cm,,,Drone-assisted studies
1355,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,Spatial mosaic,SAMPL (Number of samples),< 50 samp.,,,Drone-assisted studies
1356,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,Spatial mosaic,SEAS (Season of data collection),Core,,,Drone-assisted studies
1357,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,Spatial mosaic,SENS (Drone sensor),Hyperspec.,,,Drone-assisted studies
1358,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,Spatial mosaic,TEMP (Temporal resolution of information),1 acq.,,,Drone-assisted studies
1365,Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Species composition,AREA (Total area covered),< 50 ha,,,Drone-assisted studies
1366,Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Species composition,BIOME (Biome of ecosites),Grassland,,,Drone-assisted studies
1367,Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Species composition,BIOME (Biome of ecosites),Shrubland,,,Drone-assisted studies
1368,Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Species composition,Complexity,Positive sentiment,,,Drone-assisted studies
1369,Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Species composition,FIELD (Field sampling data),Plant data,,,Drone-assisted studies
1370,Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Species composition,LOC (Location of ecosites),Oceania,,,Drone-assisted studies
1373,Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Species composition,RES (Spatial resolution of drone information),> 10 cm,,,Drone-assisted studies
1374,Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Species composition,SAMPL (Number of samples),100-250 samp.,,,Drone-assisted studies
1375,Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Species composition,SEAS (Season of data collection),Core,,,Drone-assisted studies
1377,Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Species composition,SUCC (Successional stages of ecosites),Climax,,,Drone-assisted studies
1378,Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Species composition,SUCC (Successional stages of ecosites),Intermediate,,,Drone-assisted studies
1379,Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Species composition,SUCC (Successional stages of ecosites),Pioneer,,,Drone-assisted studies
1380,Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Species composition,TEMP (Temporal resolution of information),1 acq.,,,Drone-assisted studies
1386,Mechanical Harvesting Effectively Controls Young Typha spp. Invasion and Unmanned Aerial Vehicle Data Enhances Post-treatment Monitoring,"Plant func. type
composition",AREA (Total area covered),< 50 ha,,,Drone-assisted studies
1388,Mechanical Harvesting Effectively Controls Young Typha spp. Invasion and Unmanned Aerial Vehicle Data Enhances Post-treatment Monitoring,"Plant func. type
composition",BIOME (Biome of ecosites),Wetland/riparian,,,Drone-assisted studies
1389,Mechanical Harvesting Effectively Controls Young Typha spp. Invasion and Unmanned Aerial Vehicle Data Enhances Post-treatment Monitoring,"Plant func. type
composition",FIELD (Field sampling data),Plant data,,,Drone-assisted studies
1390,Mechanical Harvesting Effectively Controls Young Typha spp. Invasion and Unmanned Aerial Vehicle Data Enhances Post-treatment Monitoring,"Plant func. type
composition",LOC (Location of ecosites),North America,,,Drone-assisted studies
1391,Mechanical Harvesting Effectively Controls Young Typha spp. Invasion and Unmanned Aerial Vehicle Data Enhances Post-treatment Monitoring,"Plant func. type
composition",Novelty,Positive sentiment,,,Drone-assisted studies
1393,Mechanical Harvesting Effectively Controls Young Typha spp. Invasion and Unmanned Aerial Vehicle Data Enhances Post-treatment Monitoring,"Plant func. type
composition",SAMPL (Number of samples),50-100 samp.,,,Drone-assisted studies
1394,Mechanical Harvesting Effectively Controls Young Typha spp. Invasion and Unmanned Aerial Vehicle Data Enhances Post-treatment Monitoring,"Plant func. type
composition",SENS (Drone sensor),Multispec.,,,Drone-assisted studies
1395,Mechanical Harvesting Effectively Controls Young Typha spp. Invasion and Unmanned Aerial Vehicle Data Enhances Post-treatment Monitoring,"Plant func. type
composition",SUCC (Successional stages of ecosites),Intermediate,,,Drone-assisted studies
1396,Mechanical Harvesting Effectively Controls Young Typha spp. Invasion and Unmanned Aerial Vehicle Data Enhances Post-treatment Monitoring,"Plant func. type
composition",SUCC (Successional stages of ecosites),Pioneer,,,Drone-assisted studies
1397,Mechanical Harvesting Effectively Controls Young Typha spp. Invasion and Unmanned Aerial Vehicle Data Enhances Post-treatment Monitoring,"Plant func. type
composition",TEMP (Temporal resolution of information),1 acq.,,,Drone-assisted studies
1404,Object-Based Wetland Vegetation Classification Using Multi-Feature Selection of Unoccupied Aerial Vehicle RGB Imagery,Species composition,AREA (Total area covered),< 50 ha,,,Drone-assisted studies
1405,Object-Based Wetland Vegetation Classification Using Multi-Feature Selection of Unoccupied Aerial Vehicle RGB Imagery,Species composition,BIOME (Biome of ecosites),Wetland/riparian,,,Drone-assisted studies
1406,Object-Based Wetland Vegetation Classification Using Multi-Feature Selection of Unoccupied Aerial Vehicle RGB Imagery,Species composition,Complexity,Positive sentiment,,,Drone-assisted studies
1407,Object-Based Wetland Vegetation Classification Using Multi-Feature Selection of Unoccupied Aerial Vehicle RGB Imagery,Species composition,FIELD (Field sampling data),Plant data,,,Drone-assisted studies
1408,Object-Based Wetland Vegetation Classification Using Multi-Feature Selection of Unoccupied Aerial Vehicle RGB Imagery,Species composition,LOC (Location of ecosites),Asia,,,Drone-assisted studies
1412,Object-Based Wetland Vegetation Classification Using Multi-Feature Selection of Unoccupied Aerial Vehicle RGB Imagery,Species composition,RES (Spatial resolution of drone information),< 5 cm,,,Drone-assisted studies
1413,Object-Based Wetland Vegetation Classification Using Multi-Feature Selection of Unoccupied Aerial Vehicle RGB Imagery,Species composition,SAMPL (Number of samples),100-250 samp.,,,Drone-assisted studies
1414,Object-Based Wetland Vegetation Classification Using Multi-Feature Selection of Unoccupied Aerial Vehicle RGB Imagery,Species composition,SEAS (Season of data collection),Spring,,,Drone-assisted studies
1416,Object-Based Wetland Vegetation Classification Using Multi-Feature Selection of Unoccupied Aerial Vehicle RGB Imagery,Species composition,SUCC (Successional stages of ecosites),Intermediate,,,Drone-assisted studies
1417,Object-Based Wetland Vegetation Classification Using Multi-Feature Selection of Unoccupied Aerial Vehicle RGB Imagery,Species composition,SUCC (Successional stages of ecosites),Pioneer,,,Drone-assisted studies
1418,Object-Based Wetland Vegetation Classification Using Multi-Feature Selection of Unoccupied Aerial Vehicle RGB Imagery,Species composition,TEMP (Temporal resolution of information),1 acq.,,,Drone-assisted studies
1425,Visualizing the Spatiotemporal Trends of Thermal Characteristics in a Peatland Plantation Forest in Indonesia~ Pilot Test Using Unmanned Aerial Systems (UASs),"Plant func. type
composition",BIOME (Biome of ecosites),Wetland/riparian,,,Drone-assisted studies
1426,Visualizing the Spatiotemporal Trends of Thermal Characteristics in a Peatland Plantation Forest in Indonesia~ Pilot Test Using Unmanned Aerial Systems (UASs),"Plant func. type
composition",Complexity,Negative sentiment,,,Drone-assisted studies
1427,Visualizing the Spatiotemporal Trends of Thermal Characteristics in a Peatland Plantation Forest in Indonesia~ Pilot Test Using Unmanned Aerial Systems (UASs),"Plant func. type
composition",Complexity,Neutral sentiment,,,Drone-assisted studies
1428,Visualizing the Spatiotemporal Trends of Thermal Characteristics in a Peatland Plantation Forest in Indonesia~ Pilot Test Using Unmanned Aerial Systems (UASs),"Plant func. type
composition",LOC (Location of ecosites),Asia,,,Drone-assisted studies
1429,Visualizing the Spatiotemporal Trends of Thermal Characteristics in a Peatland Plantation Forest in Indonesia~ Pilot Test Using Unmanned Aerial Systems (UASs),"Plant func. type
composition",RES (Spatial resolution of drone information),> 10 cm,,,Drone-assisted studies
1430,Visualizing the Spatiotemporal Trends of Thermal Characteristics in a Peatland Plantation Forest in Indonesia~ Pilot Test Using Unmanned Aerial Systems (UASs),"Plant func. type
composition",RES (Spatial resolution of drone information),5-10 cm,,,Drone-assisted studies
